Mon Feb 26 2018 11:02:34 GMT+0800 (CST): 2=>DOCP-025 is a shit, Network is broken here 
Mon Feb 26 2018 11:46:47 GMT+0800 (CST): 6=>SSPD-141 is a shit, Network is broken here 
Fri Mar 02 2018 08:48:40 GMT+0800 (CST): 2111=>DJSR-008 is a shit, Network is broken here 
Mon Mar 05 2018 17:18:25 GMT+0800 (CST): 3149=>DVDPS-881 is a shit, Network is broken here 
Sat Mar 10 2018 23:17:30 GMT+0800 (中国标准时间): 16=>MNSK-002 is a shit, Network is broken here 
Sat Mar 10 2018 23:35:14 GMT+0800 (中国标准时间): 16=>MNSK-002 is a shit, Network is broken here 
Sat Mar 10 2018 23:58:20 GMT+0800 (中国标准时间): 0=>LOJ-302 is a shit, Network is broken here 
Sun Mar 11 2018 00:00:22 GMT+0800 (中国标准时间): 1=>AUKB-065 is a shit, Network is broken here 
Sun Mar 11 2018 00:15:14 GMT+0800 (中国标准时间): 1=>VICD-337 is a shit, Network is broken here 
Sun Mar 11 2018 00:17:31 GMT+0800 (中国标准时间): 1=>VICD-337 is a shit, Network is broken here 
Sun Mar 11 2018 00:21:14 GMT+0800 (中国标准时间): 1=>VICD-337 is a shit, Network is broken here 
Sun Mar 11 2018 00:43:41 GMT+0800 (中国标准时间): 2=>VVVD-150 is a shit, Network is broken here 
Sun Mar 11 2018 10:29:03 GMT+0800 (中国标准时间): failed;failed to insert data CID-012
Sun Mar 11 2018 22:52:30 GMT+0800 (中国标准时间): 0=>SLBB-029 is a shit, Network is broken here 
Tue Mar 13 2018 22:08:51 GMT+0800 (中国标准时间): 1=>CADV-554 is a shit, Network is broken here 
